rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AA1 R M ER0 Z	1	3	farmers	4.43	farmers (4.4),  farmers' (4.4),  farmer's (3.2)	farmers, farmers', farmer's
ER1 S AH0 N Z	1	3	persons	4.43	persons (4.4),  person's (4.0),  worsens (2.7)	persons, person's, worsens
AE1 P CH ER0	1	3	capture	4.42	capture (4.4)	capture, recapture, rapture
EY1 G AH0 S	1	3	vegas	4.42	vegas (4.4)	vegas, las-vegas, degas
AO1 R G AH0 N	1	3	morgan	4.42	morgan (4.4),  gorgon (2.6)	morgan, organ, gorgon
UH1 R OW0	1	3	bureau	4.41	bureau (4.4),  euro (4.1)	bureau, euro, arturo
AY1 T AH0 L Z	1	3	titles	4.41	titles (4.4),  recitals (2.8)	titles, recitals, entitles
EY1 T L IY0	1	3	lately	4.41	lately (4.4),  greatly (4.3)	lately, greatly, stately
IH1 N Y AH0 N Z	1	3	opinions	4.41	opinions (4.4),  virginians (2.6)	opinions, minions, virginians
IH1 N IH0 D	1	3	printed	4.4	printed (4.4)	printed, hinted, imprinted
IH1 T IH0 K S	1	3	critics	4.39	critics (4.4),  critics' (4.4)	critics, critics', analytics
IH1 Z IH0 K S	1	3	physics	4.39	physics (4.4)	physics, metaphysics, astrophysics
EY1 K AH2 P	1	3	makeup	4.39	makeup (4.4)	makeup, breakup, wakeup
AA1 JH ER0	1	3	roger	4.39	roger (4.4)	roger, dodger, rodger
AE1 N S IH0 S	1	3	francis	4.39	francis (4.4),  francis' (4.4),  frances (3.7)	francis, francis', frances
AO1 Y ER0 Z	1	3	lawyers	4.39	lawyers (4.4),  lawyers' (4.4),  lawyer's (2.9)	lawyers, lawyers', lawyer's
AH1 L T IH0 D	1	3	resulted	4.37	resulted (4.4)	resulted, consulted, insulted
AH1 N T ER0	1	3	hunter	4.37	hunter (4.4)	hunter, punter, gunter
AE1 TH Y UW0	1	3	matthew	4.37	matthew (4.4),  mathieu (3.1)	matthew, mathieu, mathew
IH1 Z N ER0 Z	1	3	prisoners	4.37	prisoners (4.4),  prisoners' (4.4),  prisoner's (2.7)	prisoners, prisoners', prisoner's
EH1 L S IY0	1	3	chelsea	4.35	chelsea (4.3),  kelsey (3.3),  elsie (3.1)	chelsea, kelsey, elsie
UW1 V M AH0 N T S	1	3	movements	4.35	movements (4.3),  movement's (2.8)	movements, improvements, movement's
AE1 TH L IY2 T S	1	3	athletes	4.34	athletes (4.3),  athletes' (4.3),  athlete's (2.8)	athletes, athletes', athlete's
AA1 K S AH0 Z	1	3	boxes	4.34	boxes (4.3),  fox's (3.1)	boxes, foxes, fox's
EH1 S T R AA2 N T S	1	3	restaurants	4.34	restaurants (4.3),  restaurants' (4.3),  restaurant's (2.8)	restaurants, restaurants', restaurant's
AA1 B AH0 N	1	3	robin	4.33	robin (4.3),  robben (2.8)	robin, robben, bobbin
IY1 N Y AH0 S	1	3	genius	4.33	genius (4.3)	genius, ingenious, heterogeneous
AH1 G L IH0 NG	1	3	struggling	4.33	struggling (4.3)	struggling, smuggling, juggling
AE1 N S ER0 D	1	3	answered	4.32	answered (4.3),  hansard (2.6)	answered, unanswered, hansard
UW1 T IY0 Z	1	3	duties	4.32	duties (4.3)	duties, beauties, booties
OW1 N AH0 N T	1	3	component	4.32	component (4.3)	component, opponent, proponent
AA1 L IH0 SH	1	3	polish	4.29	polish (4.3)	polish, abolish, demolish
AH1 N D IH0 D	1	3	funded	4.29	funded (4.3)	funded, refunded, unfunded
EH1 S M AH0 N T S	1	3	investments	4.27	investments (4.3),  investments' (4.3)	investments, investments', assessments
AA1 R D AH0 N Z	1	3	gardens	4.27	gardens (4.3),  pardons (2.9)	gardens, pardons, hardens
AE1 V L IH0 NG	1	3	traveling	4.27	traveling (4.3)	traveling, travelling, unraveling
AW1 N T AH0 D	1	3	mounted	4.26	mounted (4.3)	mounted, counted, accounted
