rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
AY1 D IH0 D	1	16	decided	5.09	decided (5.1)	decided, provided, guided, sided, misguided, presided, resided, collided, undecided, subdivided, undivided, subsided, confided, lopsided, derided, prided
IY1 AH0 N	1	16	european	5.08	european (5.1),  eon (2.7)	european, korean, ian, caribbean, indo-european, asean, crimean, sheehan, boolean, aegean, jian, meehan, eritrean, eon, fujian, theon
IH1 R IY0	1	16	theory	4.88	theory (4.9),  weary (3.6),  erie (3.6),  siri (3.3),  cheery (3.0),  wiry (2.5)	theory, weary, erie, eerie, siri, dreary, o'leary, cheery, cleary, leary, teary, geary, leery, kiri, wiry, hariri
UW1 T IH0 NG	1	16	shooting	4.78	shooting (4.8)	shooting, computing, recruiting, rooting, routing, looting, commuting, polluting, disputing, booting, saluting, diluting, refuting, fruiting, suiting, muting
AY1 D IH0 NG	1	16	providing	4.72	providing (4.7)	providing, riding, hiding, deciding, sliding, guiding, dividing, residing, siding, presiding, abiding, gliding, colliding, coinciding, striding, biding
AO1 R T IH0 NG	1	16	supporting	4.71	supporting (4.7)	supporting, reporting, sporting, sorting, transporting, exporting, importing, resorting, courting, snorting, distorting, purporting, deporting, thwarting, porting, shorting
EH1 S T AH0 D	1	16	suggested	4.68	suggested (4.7)	suggested, arrested, tested, requested, invested, contested, protested, rested, vested, infested, congested, ingested, nested, breasted, crested, chested
EH1 N T IH0 NG	1	16	representing	4.36	representing (4.4)	representing, preventing, presenting, renting, inventing, dissenting, venting, consenting, unrelenting, lamenting, reinventing, supplementing, cementing, misrepresenting, fermenting, circumventing
AY1 D ER0	1	16	spider	4.25	spider (4.2)	spider, wider, provider, rider, insider, snyder, outsider, cider, ryder, schneider, slider, glider, collider, divider, snider, strider
AY1 N ER0 Z	1	16	designers	4.05	designers (4.0),  designers' (4.0),  minors (3.7),  designer's (2.7),  dinars (2.5)	designers, designers', miners, miners', minors, liners, liners', diners, niners, niners', designer's, refiners, refiners', signers, dinars, miner's
AA1 R AH0	1	16	tara	3.66	tara (3.7)	tara, lara, mara, tamara, tiara, barra, ferrara, nara, chara, guevara, guadalajara, vergara, parra, amara, chiara, bara
EH1 T IH0 NG	1	15	getting	5.57	getting (5.6)	getting, setting, letting, betting, forgetting, sweating, upsetting, netting, vetting, petting, regretting, wetting, offsetting, abetting, fretting
EY1 K IH0 NG	1	15	making	5.54	making (5.5)	making, taking, breaking, shaking, waking, baking, faking, braking, aching, mistaking, raking, staking, remaking, retaking, flaking
IH1 T AH0 N	1	15	written	5.09	written (5.1),  britain (4.7),  gettin' (3.7),  britton (3.0)	written, britain, gettin', kitten, bitten, rewritten, unwritten, smitten, sittin', britton, briton, britten, lytton, witten, whitten
AA1 T AH0	1	15	gotta	4.95	gotta (5.0),  fatah (2.9)	gotta, mata, tata, lotta, sonata, ata, janata, plata, regatta, cotta, fatah, renata, zapata, fata, iwata
UW1 Z IH0 Z	1	15	uses	4.88	uses (4.9),  cruz's (2.7)	uses, loses, refuses, excuses, chooses, abuses, bruises, accuses, cruises, fuses, muses, confuses, cruz's, oozes, amuses
IY1 T ER0	1	15	peter	4.88	peter (4.9)	peter, meter, heater, liter, eater, sweeter, cheater, seater, beater, dieter, jeter, repeater, pieter, streeter, skeeter
AE1 N D IH0 NG	1	15	standing	4.86	standing (4.9)	standing, understanding, outstanding, landing, expanding, demanding, commanding, branding, handing, misunderstanding, notwithstanding, banding, sanding, stranding, withstanding
IY1 T IH0 D	1	15	completed	4.77	completed (4.8)	completed, treated, repeated, defeated, heated, cheated, seated, greeted, undefeated, competed, depleted, retreated, untreated, mistreated, meted
AY1 N ER0	1	15	minor	4.62	minor (4.6),  designer (4.4),  einar (2.6)	minor, designer, liner, miner, diner, finer, weiner, steiner, wiener, reiner, berliner, signer, shiner, einar, recliner
AW1 N D IH0 D	1	15	founded	4.5	founded (4.5)	founded, surrounded, sounded, rounded, grounded, bounded, compounded, pounded, unfounded, astounded, rebounded, impounded, confounded, hounded, unbounded
EY1 S IH0 NG	1	15	facing	4.5	facing (4.5)	facing, racing, placing, replacing, chasing, embracing, tracing, spacing, casing, pacing, basing, bracing, erasing, displacing, gracing
AA1 K IY0	1	15	hockey	4.42	hockey (4.4),  rocky (4.2),  kawasaki (3.0)	hockey, rocky, jockey, cocky, kawasaki, khaki, nagasaki, maki, aki, miyazaki, stocky, sasaki, saki, teriyaki, machi
AA1 D AH0	1	15	nevada	4.04	nevada (4.0)	nevada, granada, prada, nada, armada, grenada, okada, radha, estrada, wada, yamada, bada, rada, intifada, tada
EH1 N D ER0 Z	1	15	defenders	3.95	defenders (4.0),  vendors (3.8),  vendors' (3.8),  lenders' (3.7)	defenders, offenders, vendors, vendors', lenders, lenders', contenders, renders, tenders, genders, surrenders, fenders, suspenders, pretenders, enders
AA1 T IH0 K	1	15	exotic	3.91	exotic (3.9)	exotic, patriotic, erotic, chaotic, aquatic, robotic, antibiotic, psychotic, idiotic, hypnotic, neurotic, narcotic, symbiotic, unpatriotic, despotic
EY1 N IY0	1	15	rainy	3.74	rainy (3.7),  cheney (3.4),  seine (3.2),  allegheny (3.1),  bahraini (2.7),  zany (2.7)	rainy, cheney, delaney, seine, allegheny, chaney, grainy, rainey, janie, bahraini, zany, khomeini, brainy, laney, haney
EH1 D IY0	1	14	already	5.55	already (5.5),  eddie (4.1),  teddy (3.9),  mehdi (2.9)	already, ready, steady, eddie, teddy, freddie, eddy, freddy, reddy, heady, edie, mehdi, medi, unsteady
EY1 B AH0 L	1	14	able	5.43	able (5.4),  label (4.4)	able, table, unable, cable, stable, label, enable, unstable, disable, abel, mabel, fable, gable, sable
AW1 ER0 Z	1	14	hours	5.4	hours (5.4),  powers (4.7),  powers' (4.7),  power's (2.9),  hour's (2.9)	hours, powers, powers', flowers, flowers', ours, towers, towers', showers, superpowers, bowers, empowers, power's, hour's
UW1 M AH0 N	1	14	human	5.35	human (5.3),  lumen (3.1),  neumann (3.0),  cumin (3.0)	human, newman, truman, inhuman, superhuman, lumen, neumann, cumin, acumen, schumann, bitumen, crewman, albumin, nonhuman
IH1 L Y AH0 N	1	14	million	5.33	million (5.3),  brazilian (4.2)	million, billion, brazilian, civilian, trillion, pavilion, jillian, multimillion, killian, lilian, reptilian, vermilion, zillion, vermillion
EY1 ER0 Z	1	14	players	5.3	players (5.3),  players' (5.3),  player's (3.6),  mayors (3.4),  mayor's (3.3)	players, players', layers, prayers, player's, mayors, mayor's, payers, payers', surveyors, ayers, sayers, naysayers, purveyors
AY1 ER0 D	1	14	required	5.02	required (5.0)	required, tired, fired, inspired, retired, hired, acquired, desired, wired, admired, conspired, transpired, inquired, uninspired
EH1 N SH AH0 L	1	14	potential	5.01	potential (5.0)	potential, essential, presidential, vice-presidential, confidential, differential, existential, exponential, preferential, prudential, quintessential, experiential, torrential, credential
IY1 V IH0 NG	1	14	leaving	4.98	leaving (5.0)	leaving, receiving, believing, achieving, weaving, grieving, relieving, deceiving, self-deceiving, retrieving, heaving, perceiving, conceiving, thieving
AE1 S T ER0	1	14	master	4.93	master (4.9),  pastor (4.1)	master, faster, disaster, pastor, plaster, headmaster, castor, caster, blaster, mcmaster, astor, grandmaster, aster, raster
IY1 K IH0 NG	1	14	speaking	4.91	speaking (4.9)	speaking, seeking, freaking, leaking, sneaking, tweaking, peaking, peeking, shrieking, creaking, streaking, critiquing, wreaking, squeaking
ER1 N AH0 L	1	14	journal	4.77	journal (4.8),  colonel (4.4)	journal, internal, external, colonel, eternal, maternal, kernel, paternal, nocturnal, fraternal, infernal, diurnal, bernal, vernal
AA1 P IH0 NG	1	14	shopping	4.68	shopping (4.7)	shopping, dropping, stopping, popping, topping, hopping, chopping, swapping, whopping, cropping, flopping, propping, mopping, copping
OW1 K IH0 NG	1	14	smoking	4.52	smoking (4.5)	smoking, non-smoking, joking, choking, provoking, soaking, poking, stroking, invoking, evoking, revoking, cloaking, coking, stoking
IH1 L ER0	1	14	miller	4.5	miller (4.5),  pillar (3.6)	miller, killer, thriller, reid-miller, pillar, filler, schiller, millar, tiller, hiller, stiller, chiller, spiller, diller
AE1 T AH0 N	1	14	latin	4.48	latin (4.5),  manhattan (4.2),  baton (3.6),  staten (3.3)	latin, manhattan, baton, patton, satin, staten, stratton, flatten, patten, hatton, paton, batten, bratton, fatten
EH1 S IH0 V	1	14	impressive	4.47	impressive (4.5)	impressive, progressive, aggressive, excessive, successive, oppressive, expressive, obsessive, depressive, possessive, repressive, regressive, recessive, unimpressive
AE1 N D IH0 D	1	14	handed	4.42	handed (4.4),  candid (3.5)	handed, single-handed, red-handed, expanded, landed, demanded, branded, commanded, stranded, candid, remanded, disbanded, banded, sanded
AH1 T ER0	1	14	butter	4.4	butter (4.4),  what're (2.9)	butter, utter, cutter, shutter, gutter, clutter, sutter, flutter, stutter, putter, what're, nutter, mutter, rutter
ER1 T IH0 D	1	14	converted	4.21	converted (4.2)	converted, inserted, deserted, diverted, inverted, alerted, concerted, perverted, reverted, exerted, flirted, subverted, blurted, skirted
AA1 K IH0 NG	1	14	blocking	4.12	blocking (4.1)	blocking, shocking, knocking, locking, rocking, mocking, stocking, docking, unlocking, clocking, flocking, hocking, restocking, cocking
ER1 T IH0 NG	1	14	hurting	4.11	hurting (4.1)	hurting, converting, flirting, asserting, inserting, diverting, alerting, disconcerting, reverting, exerting, skirting, squirting, subverting, averting
EY1 N ER0	1	14	trainer	4.08	trainer (4.1),  planar (3.1),  trainor (2.6)	trainer, container, painter, entertainer, brainer, retainer, planar, campaigner, rainer, rayner, trainor, gaynor, gainer, raynor
EH1 T IY0	1	14	petty	4.07	petty (4.1),  spaghetti (3.6),  sweaty (3.6),  petit (3.3),  bette (3.1)	petty, betty, spaghetti, sweaty, getty, petit, bette, jetty, confetti, yeti, rossetti, moretti, serengeti, hetty
AE1 SH IH0 Z	1	14	ashes	3.93	ashes (3.9),  nash's (2.6)	ashes, crashes, flashes, clashes, lashes, smashes, splashes, caches, dashes, slashes, rashes, nash's, bashes, sashes
AE1 P IH0 NG	1	14	mapping	3.88	mapping (3.9)	mapping, tapping, wrapping, snapping, trapping, clapping, slapping, rapping, capping, scrapping, napping, flapping, strapping, lapping
AE1 SH IH0 NG	1	14	crashing	3.84	crashing (3.8)	crashing, flashing, smashing, bashing, dashing, splashing, cashing, slashing, lashing, thrashing, clashing, trashing, caching, hashing
OW1 N IH0 NG	1	14	owning	3.84	owning (3.8)	owning, zoning, moaning, cloning, groaning, postponing, phoning, honing, stoning, toning, loaning, condoning, droning, boning
EY1 D ER0	1	14	trader	3.77	trader (3.8),  nadir (2.9)	trader, raider, vader, grader, crusader, bader, invader, nader, nadir, haider, schrader, shader, fader, seder
IY1 T OW0	1	14	veto	3.65	veto (3.6)	veto, mosquito, tito, burrito, ito, vito, incognito, leto, benito, nieto, esposito, quito, devito, bonito
AA1 T IY0	1	14	karate	3.55	karate (3.5),  potty (3.3),  maserati (3.0)	karate, potty, scotty, maserati, scottie, spotty, marathi, lottie, bugatti, gotti, dottie, knotty, dotty, kiribati
EH1 D IH0 NG	1	13	reading	5.14	reading (5.1)	reading, wedding, heading, spreading, bedding, shedding, redding, dreading, shredding, beheading, threading, treading, sledding
ER1 ZH AH0 N	1	13	version	5.07	version (5.1),  persian (3.8)	version, conversion, persian, diversion, immersion, excursion, inversion, aversion, dispersion, subversion, incursion, perversion, reversion
AO1 L IH0 NG	1	13	calling	4.96	calling (5.0)	calling, installing, crawling, appalling, recalling, hauling, sprawling, stalling, smalling, balling, brawling, walling, galling
EH1 S ER0	1	13	professor	4.9	professor (4.9),  lesser (4.1),  prof. (4.1)	professor, lesser, prof., successor, compressor, dresser, aggressor, suppressor, assessor, presser, oppressor, messer, possessor
AE1 N IH0 NG	1	13	planning	4.9	planning (4.9)	planning, manning, banning, scanning, granting, spanning, canning, tanning, channing, enchanting, fanning, panning, lanning
ER1 IY0	1	13	worry	4.84	worry (4.8),  murray (4.3),  hurry (4.1),  surrey (3.8),  uri (3.3),  currie (3.1)	worry, murray, hurry, curry, surrey, furry, blurry, uri, flurry, currie, slurry, surry, scurry
AE1 S T IH0 K	1	13	fantastic	4.71	fantastic (4.7)	fantastic, plastic, enthusiastic, drastic, sarcastic, elastic, scholastic, stochastic, monastic, dynastic, bombastic, thermoplastic, gymnastic
IH1 NG IH0 NG	1	13	bringing	4.71	bringing (4.7)	bringing, singing, swinging, ringing, clinging, stinging, springing, slinging, flinging, stringing, wringing, pinging, winging
EH1 S T IH0 NG	1	13	testing	4.67	testing (4.7)	testing, suggesting, investing, resting, requesting, protesting, arresting, nesting, contesting, molesting, ingesting, digesting, vesting
OW1 T IH0 NG	1	13	voting	4.62	voting (4.6)	voting, promoting, floating, noting, quoting, coating, boating, devoting, denoting, toting, bloating, gloating, doting
UW1 SH AH0 N Z	1	13	institutions	4.58	institutions (4.6),  institutions' (4.6),  institution's (2.7)	institutions, institutions', solutions, contributions, resolutions, distributions, executions, revolutions, prosecutions, constitutions, substitutions, institution's, prosecution's
AW1 N D IH0 NG	1	13	surrounding	4.49	surrounding (4.5)	surrounding, founding, sounding, pounding, astounding, rounding, grounding, compounding, resounding, rebounding, confounding, bounding, hounding
EH1 SH AH0 N Z	1	13	sessions	4.48	sessions (4.5),  sessions' (4.5)	sessions, sessions', expressions, possessions, impressions, concessions, confessions, professions, transgressions, obsessions, depressions, processions, recessions
AA1 D OW0	1	13	colorado	4.46	colorado (4.5)	colorado, avocado, dorado, machado, delgado, prado, bravado, coronado, alvarado, maldonado, silverado, eldorado, mercado
AO1 R AH0 L	1	13	moral	4.46	moral (4.5),  laurel (3.6),  morell (2.5)	moral, oral, coral, floral, laurel, immoral, quarrel, choral, aural, amoral, balmoral, sorrel, morell
OW1 Z IH0 NG	1	13	closing	4.46	closing (4.5)	closing, opposing, exposing, imposing, posing, proposing, composing, disclosing, disposing, supposing, enclosing, decomposing, dozing
AO1 R T ER0 Z	1	13	supporters	4.46	supporters (4.5),  reporters' (4.0),  mortars (3.1),  porter's (2.8)	supporters, quarters, reporters, reporters', exporters', exporters, mortars, importers, importers', porters, transporters, porter's, reporter's
EY1 M IH0 NG	1	13	gaming	4.36	gaming (4.4)	gaming, claiming, aiming, blaming, naming, framing, flaming, shaming, proclaiming, reclaiming, taming, renaming, exclaiming
IH1 SH AH0 S	1	13	delicious	4.34	delicious (4.3)	delicious, suspicious, ambitious, vicious, malicious, fictitious, nutritious, superstitious, auspicious, pernicious, capricious, judicious, seditious
UW1 T ER0 Z	1	13	computers	4.33	computers (4.3),  computers' (4.3),  tutors (3.1),  computer's (2.9)	computers, computers', shooters, commuters, recruiters, tutors, scooters, routers, suitors, computer's, hooters, looters, polluters
AY1 R IH0 NG	1	13	firing	4.27	firing (4.3)	firing, hiring, requiring, inspiring, acquiring, retiring, aspiring, wiring, tiring, admiring, conspiring, expiring, uninspiring
AE1 N IY0	1	13	danny	4.25	danny (4.2),  pakistani (4.0),  annie (3.9)	danny, pakistani, annie, granny, nanny, manny, fanny, uncanny, fannie, canny, hani, sani, lanny
EH1 R AH0 N	1	13	aaron	4.23	aaron (4.2),  karen (4.1),  karan (3.1)	aaron, karen, sharon, baron, mclaren, barren, barron, karan, heron, aron, theron, herron, o'herron
IY1 T AH0 N	1	13	beaten	4.21	beaten (4.2),  eaton (3.4)	beaten, eaten, eaton, unbeaten, keaton, eton, wheaton, heaton, seton, sweeten, seaton, teton, beaton
OW1 S AH0 S	1	13	diagnosis	4.2	diagnosis (4.2)	diagnosis, tuberculosis, prognosis, sclerosis, hypnosis, psychosis, fibrosis, necrosis, cirrhosis, thrombosis, symbiosis, neurosis, meiosis
EY1 K ER0 Z	1	13	acres	4.17	acres (4.2),  makers (4.2),  makers' (4.2),  baker's (3.0)	acres, makers, makers', lakers, lawmakers', breakers, takers, bakers, baker's, quakers, shakers, maker's, akers
IH1 K ER0	1	13	liquor	4.01	liquor (4.0),  quicker (3.9),  vicar (3.4)	liquor, quicker, sticker, thicker, kicker, vicar, flicker, ticker, wicker, picker, sicker, clicker, bicker
EH1 N AH0	1	13	vienna	3.98	vienna (4.0),  bene (2.9)	vienna, antenna, jenna, mckenna, sienna, sena, pena, senna, bene, henna, ravenna, lorena, modena
EY1 S IY0	1	13	casey	3.96	casey (4.0),  tracy (3.8),  gracie (3.2),  traci (2.6)	casey, tracy, stacey, stacy, tracey, lacey, gracie, lacy, macy, spacey, racy, facie, traci
EH1 S ER0 Z	1	13	professors	3.92	professors (3.9),  professors' (3.9),  messrs (2.9),  messrs. (2.9),  professor's (2.8),  dressers (2.5)	professors, professors', predecessors', successors, messrs, messrs., oppressors, stressors, compressors, professor's, aggressors, assessors, dressers
AE1 S IY0	1	13	classy	3.72	classy (3.7),  chassis (3.5),  cassie (3.3),  assay (3.3),  massey (3.2),  malagasy (2.6)	classy, chassis, cassie, assay, grassy, sassy, tallahassee, massey, glassy, lassie, kasey, malagasy, massie
IY1 M AH0	1	13	lima	3.58	lima (3.6)	lima, prima, hiroshima, fukushima, fema, edema, ema, jemima, emphysema, pima, jima, sima, cima
IY1 L IY0	1	12	really	5.97	really (6.0),  freely (4.1),  healy (3.2),  healey (2.9),  swahili (2.9)	really, freely, ideally, healy, healey, swahili, greeley, steely, seeley, neely, feely, keeley
ER1 L IY0	1	12	early	5.43	early (5.4),  shirley (3.7),  curly (3.6),  girlie (2.8)	early, shirley, curly, hurley, pearly, burley, surly, girlie, burly, gurley, curley, worley
AH1 M IH0 NG	1	12	coming	5.4	coming (5.4)	coming, becoming, forthcoming, plumbing, humming, drumming, cumming, summing, numbing, succumbing, unbecoming, strumming
UW1 T ER0	1	12	computer	4.97	computer (5.0),  tutor (3.7)	computer, shooter, tutor, scooter, router, commuter, recruiter, suitor, cuter, neuter, pewter, supercomputer
AE1 K T IH0 V	1	12	active	4.93	active (4.9)	active, attractive, interactive, radioactive, inactive, reactive, proactive, unattractive, retroactive, refractive, hyperactive, overactive
UW1 L IY0	1	12	truly	4.87	truly (4.9),  newly (4.4),  julie (4.1),  cruelly (3.0),  dooley (3.0),  coolly (2.7)	truly, newly, julie, duly, unruly, unduly, cruelly, dooley, cooley, coolly, juli, uli
AE1 F IH0 K	1	12	traffic	4.85	traffic (4.8)	traffic, graphic, geographic, demographic, photographic, pornographic, holographic, topographic, ethnographic, stratigraphic, oceanographic, hydrographic
IY1 P IH0 NG	1	12	keeping	4.84	keeping (4.8)	keeping, sleeping, sweeping, creeping, weeping, leaping, reaping, peeping, seeping, beeping, heaping, safekeeping
AE1 K SH AH0 N Z	1	12	actions	4.82	actions (4.8)	actions, reactions, transactions, interactions, attractions, factions, distractions, fractions, contractions, infractions, abstractions, extractions
UW1 IY0	1	12	louis	4.82	louis (4.8),  dewey (3.4),  sui (3.0),  buoy (3.0),  chewy (2.9),  neue (2.7)	louis, dewey, huey, sui, shui, buoy, chewy, gooey, neue, dewy, tsui, mitsui
IY1 T AH0 D	1	12	completed	4.77	completed (4.8)	completed, treated, repeated, deleted, defeated, heated, cheated, seated, greeted, retreated, secreted, conceited
IY1 S IH0 Z	1	12	pieces	4.72	pieces (4.7),  greece's (2.8)	pieces, increases, releases, decreases, leases, ceases, nieces, greece's, creases, police's, polices, reese's
AA1 P ER0	1	12	proper	4.72	proper (4.7)	proper, copper, improper, hopper, chopper, shopper, topper, stopper, popper, whopper, dropper, cropper
IH1 S T IH0 D	1	12	listed	4.69	listed (4.7)	listed, assisted, insisted, twisted, consisted, enlisted, resisted, persisted, unlisted, fisted, delisted, unassisted
IH1 T AH0 D	1	12	committed	4.65	committed (4.7),  it'd (4.2)	committed, admitted, submitted, it'd, fitted, permitted, transmitted, omitted, acquitted, emitted, knitted, pitted
IH1 N IY0	1	12	mini	4.44	mini (4.4),  guinea (4.1),  skinny (4.0),  minnie (3.3),  mckinney (3.1),  pliny (2.8)	mini, guinea, skinny, minnie, winnie, mckinney, ginny, vinny, vinnie, finney, kinney, pliny
OW1 T AH0	1	12	minnesota	4.31	minnesota (4.3),  proto (3.2)	minnesota, dakota, toyota, quota, proto, sarasota, iota, ota, botha, lakota, rota, mota
UW1 L IH0 NG	1	12	ruling	4.29	ruling (4.3)	ruling, cooling, schooling, fooling, fueling, drooling, pooling, tooling, grueling, refueling, dueling, fuelling
UW1 M IH0 NG	1	12	assuming	4.23	assuming (4.2)	assuming, consuming, grooming, booming, blooming, looming, resuming, fuming, zooming, unassuming, presuming, rooming
EY1 Z ER0	1	12	laser	4.2	laser (4.2),  razor (3.7),  lazar (2.8)	laser, fraser, razor, blazer, taser, raiser, frazer, appraiser, lazar, glaser, lazer, glazer
AA1 M IY0	1	12	tommy	4.16	tommy (4.2),  tsunami (3.5),  commie (2.9),  balmy (2.7)	tommy, mommy, tsunami, ami, swami, rami, commie, salami, murakami, balmy, islami, tommie
OW1 Z IH0 Z	1	12	roses	4.01	roses (4.0),  rose's (3.1)	roses, closes, poses, proposes, noses, exposes, opposes, imposes, rose's, hoses, discloses, composes
OW1 AH0	1	12	noah	3.93	noah (3.9),  goa (3.4)	noah, goa, samoa, noaa, boa, balboa, shenandoah, ochoa, figueroa, toa, roa, noa
AA1 L IH0 K	1	12	alcoholic	3.91	alcoholic (3.9)	alcoholic, symbolic, metabolic, hyperbolic, parabolic, anabolic, melancholic, folic, frolic, workaholic, vitriolic, phenolic
EY1 T ER0 Z	1	12	creators	3.81	creators (3.8),  haters (3.5)	creators, haters, traitors, translators, waiters, gators, dictators, skaters, caters, curators, craters, freighters
AA1 T OW0	1	12	motto	3.72	motto (3.7)	motto, moto, lotto, sato, lovato, yamato, renato, amato, d'amato, mulatto, vibrato, mato
UW1 N IY0	1	12	rooney	3.7	rooney (3.7),  uni (3.7),  puny (2.8),  loony (2.8)	rooney, uni, sunni, clooney, mooney, looney, puny, loony, cooney, muni, bruni, cuny
EY1 SH AH0 S	1	12	gracious	3.59	gracious (3.6)	gracious, spacious, tenacious, audacious, ignatius, herbaceous, flirtatious, voracious, ostentatious, vivacious, fallacious, efficacious
IH1 P ER0	1	12	skipper	3.54	skipper (3.5),  kippur (2.7)	skipper, stripper, zipper, ripper, slipper, clipper, shipper, chipper, dipper, flipper, kippur, tipper
IY1 IH0 NG	1	11	being	5.95	being (6.0)	being, seeing, skiing, agreeing, fleeing, wellbeing, freeing, guaranteeing, sightseeing, disagreeing, keying
IY1 D AH0 D	1	11	needed	5.18	needed (5.2)	needed, succeeded, proceeded, exceeded, preceded, pleaded, seeded, superseded, ceded, receded, heeded
EY1 S AH0 Z	1	11	cases	5.04	cases (5.0)	cases, places, faces, races, spaces, bases, traces, braces, chases, laces, vases
AO1 R S IH0 Z	1	11	forces	4.98	forces (5.0),  forces' (5.0),  force's (2.9)	forces, forces', courses, horses, horses', reinforces, divorces, endorses, discourses, force's, enforces
EH1 N D AH0 N T	1	11	independent	4.93	independent (4.9),  defendant (4.0)	independent, dependent, defendant, superintendent, attendant, pendant, descendant, transcendent, ascendant, resplendent, interdependent
AO1 L ER0	1	11	color	4.91	color (4.9),  smaller (4.8),  dollar (4.6)	color, smaller, dollar, taller, caller, waller, installer, lawler, baller, trawler, haller
AE1 N D AH0 L	1	11	handle	4.79	handle (4.8),  scandal (4.2),  randall (3.7),  handel (3.0)	handle, scandal, candle, randall, handel, randle, sandal, vandal, randal, mandel, crandall
UW1 AH0 L	1	11	fuel	4.72	fuel (4.7),  dual (4.3),  newell (3.0)	fuel, dual, cruel, renewal, jewel, duel, newell, sewell, refuel, buell, accrual
OW1 SH AH0 N	1	11	ocean	4.7	ocean (4.7),  motion (4.6)	ocean, motion, promotion, emotion, notion, devotion, lotion, potion, commotion, locomotion, demotion
EY1 JH IH0 Z	1	11	pages	4.62	pages (4.6),  page's (2.6)	pages, ages, stages, wages, cages, engages, gauges, rages, sages, mages, page's
EY1 V IH0 NG	1	11	saving	4.59	saving (4.6)	saving, waving, shaving, craving, behaving, paving, engraving, raving, caving, waiving, misbehaving
EY1 V ER0	1	11	favor	4.58	favor (4.6),  waiver (3.5),  favre (2.9)	favor, flavor, waiver, saver, savor, favre, braver, shaver, waver, engraver, laver
EH1 R ER0	1	11	error	4.55	error (4.5),  bearer (3.4),  there're (2.8)	error, terror, bearer, standard-bearer, fairer, wearer, rarer, stretcher-bearer, ferrer, carer, there're
OW1 L ER0	1	11	solar	4.53	solar (4.5),  controller (4.1)	solar, controller, roller, polar, bi-polar, bipolar, bowler, stroller, comptroller, kohler, koehler
AY1 Z IH0 NG	1	11	rising	4.52	rising (4.5)	rising, surprising, comprising, uprising, arising, advising, sizing, revising, devising, disguising, unsurprising
IH1 NG ER0	1	11	singer	4.52	singer (4.5)	singer, left-winger, right-winger, springer, winger, linger, ringer, stringer, stinger, swinger, klinger
AW1 ER0 D	1	11	howard	4.48	howard (4.5),  powered (4.2)	howard, powered, coward, empowered, showered, devoured, overpowered, broward, scoured, flowered, soured
OW1 L IH0 NG	1	11	rolling	4.47	rolling (4.5)	rolling, controlling, bowling, polling, trolling, patrolling, enrolling, strolling, growling, tolling, consoling
AH1 K SH AH0 N Z	1	11	instructions	4.37	instructions (4.4),  productions' (3.9)	instructions, productions, productions', reductions, constructions, deductions, introductions, reproductions, reconstructions, obstructions, abductions
IY1 M IH0 NG	1	11	screaming	4.35	screaming (4.3)	screaming, streaming, dreaming, seeming, teaming, steaming, gleaming, scheming, beaming, redeeming, teeming
OW1 D IH0 D	1	11	loaded	4.25	loaded (4.2)	loaded, exploded, coded, eroded, encoded, unloaded, reloaded, corroded, imploded, outmoded, unexploded
IY1 V ER0	1	11	fever	4.22	fever (4.2)	fever, receiver, believer, lever, beaver, weaver, reliever, cleaver, retriever, unilever, achiever
IH1 T ER0	1	11	bitter	4.21	bitter (4.2)	bitter, litter, transmitter, glitter, hitter, sitter, fitter, ritter, emitter, critter, quitter
EH1 L AH0 N	1	11	helen	4.19	helen (4.2),  melon (3.3),  mcclellan (3.0)	helen, ellen, melon, mellon, felon, carnegie-mellon, mcclellan, whelan, magellan, phelan, yellen
AY1 Z IH0 Z	1	11	sizes	4.18	sizes (4.2)	sizes, rises, prizes, surprises, comprises, arises, advises, disguises, despises, mises, guises
AY1 AH0 N Z	1	11	lions	4.18	lions (4.2),  lions' (4.2),  ryan's (3.3),  lion's (3.2),  hawaiians (2.6)	lions, lions', ions, lyons, ryan's, lion's, brian's, hawaiians, ghanaians, bryan's, mayans
AO1 R AH0 S	1	11	morris	4.15	morris (4.2),  morris' (4.2),  forests (4.1),  chorus (3.9),  horace (3.5)	morris, morris', forests, chorus, doris, horace, porous, taurus, horus, thesaurus, tyrannosaurus
AH1 M B AH0 L	1	11	humble	4.11	humble (4.1),  trumbull (2.7)	humble, rumble, stumble, tumble, fumble, crumble, bumble, mumble, jumble, grumble, trumbull
UH1 R AH0	1	11	euro	4.09	euro (4.1),  ventura (3.3)	euro, ventura, sakura, nakamura, nomura, kimura, dura, jura, sura, pura, miura
IY1 M AH0 N	1	11	demon	4.06	demon (4.1),  freeman (3.8),  semen (3.4),  riemann (2.6)	demon, freeman, semen, lehman, seaman, seamen, daemon, shimon, neiman, eamon, riemann
EY1 OW0	1	11	seo	4.01	seo (4.0)	seo, mayo, mateo, galileo, matteo, mindanao, cacao, montevideo, judeo, teo, hideo
AE1 K IY0	1	11	jackie	3.97	jackie (4.0),  iraqi (4.0),  wacky (3.3),  mackey (2.9)	jackie, iraqi, wacky, tacky, khaki, mackey, mackie, lackey, jacky, blackie, taki
AE1 T IY0	1	11	cincinnati	3.96	cincinnati (4.0),  fatty (3.8),  hattie (2.9)	cincinnati, fatty, patty, matty, patti, chatty, hattie, batty, mattie, natty, catty
